author,description,price,publisher,title
장영하,장영하 변호사의 증언 ,"13,500원",지우LNB(지우출판),"굿바이, 이재명"
박근혜,박근혜 전 대통령의 회고,"13,500원",가로세로연구소,그리움은 아무에게나 생기지 않습니다
나관중,"나관중의 〈삼국지〉, 요시카와 에이지판 원전 최신 완역판","19,800원",요시카와 에이지,삼국지 원전 완역판 세트
김호연,힘들게 살아낸 오늘을 위로하는 편의점의 밤,"12,600원",나무옆의자,불편한 편의점
김난도,"2022, 반전의 시작을 알리는 변화의 징후를 포착하라!","16,200원",전미영,트렌드 코리아 2022
설민석,"고려 왕건, 새로운 세상을 열다! ","10,800원",스토리박스,설민석의 한국사 대모험 19
매트 헤이그,"삶과 죽음 사이, 마법의 도서관이 열린다","14,220원",노진선,미드나잇 라이브러리
김종원,매일 한 뼘씩 아이 마음이 자라는 인생 문장,"14,400원",소소하이,하루 한 장 365 인문학 달력
데이비드 조,2020 최신판으로 토익 기출 보카 업그레이드,"11,610원",해커스어학연구소,해커스 토익 기출 보카
최태성,2022년에도 압도적 1위!,"13,500원",이투스북 ,"2022 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1, 2, 3급) 상"
켈리 최,바라던 삶에 가까워져라!,"14,400원",다산북스,웰씽킹 WEALTHINKING
포터 스타일,삶의 가장 빛나는 순간을 찾는 시간,"15,120원",정지현,5년 후 나에게 Q&A a day (2022 메리골드 Edition)
ETS,정기시험 기출문제로 목표점수 적중,"16,020원",YBM(와이비엠),ETS 토익 정기시험 기출문제집 1000 Vol.3 READING 리딩 
강미강,"이준호, 이세영 주연 드라마 〈옷소매 붉은 끝동〉 원작","10,800원",청어람,옷소매 붉은 끝동 1
강미강,"이준호, 이세영 주연 드라마 〈옷소매 붉은 끝동〉 원작","9,900원",청어람,옷소매 붉은 끝동 2
ETS,단독 토익 기출문제로 실전 대비 ,"16,020원",YBM(와이비엠),ETS 토익 정기시험 기출문제집 1000 Vol.3 LISTENING 리스닝  
유시민,전면개정 유시민의 세계사 거꾸로 읽기,"15,750원",돌베개,거꾸로 읽는 세계사
오은영,국민멘토 오은영 박사의 나를 찾는 수업,"14,400원",코리아닷컴(Korea.com),오은영의 화해
이미예,"잠들면 열리는 비밀상점, 그곳에서 펼쳐지는 힐링 판타지","12,420원",팩토리나인,달러구트 꿈 백화점
강성태,공신 강성태의 영어공부 완결판 ,"15,300원",다산북스,강성태 66일 영어회화
정재은,불안이 온갖 미신을 만든다,"12,600원",이고은,정재승의 인간탐구보고서 8
김도연,"아이 공부에, 절대로 늦은 시기란 없습니다!","17,820원",길벗,영어 공부 잘하는 아이는 이렇게 공부합니다
이안 더귀드,그리스도 중심 성경 읽기 ,"11,700원",조나단 깁슨,리딩지저스 1 : 더 큰 은혜로 인도하시는 하나님 
흔한남매,웃음 폭탄 `에피소드`와 깨알 재미 `놀이`의 조합,"12,150원",백난도,흔한남매 9
박시연,아킬레우스와 헥토르의 운명을 건 대결,"12,600원",최우빈,그리스 로마 신화 26
최태성,2022년도 한능검 합격 보장!,"13,050원",이투스북 ,"2022 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1, 2, 3급) 하"
백희나,백희나 작가가 전하는 희망의 메시지! ,"16,200원",책읽는곰,연이와 버들도령
로버트 기요사키,전 세계에서 가장 많이 팔린 경제경영서,"14,220원",안진환,부자 아빠 가난한 아빠 20주년 특별 기념판
이미예,"힐링 판타지 〈달러구트 꿈 백화점〉, 두 번째 이야기","12,420원",팩토리나인,달러구트 꿈 백화점 2
정영욱,"오늘도 잘 견뎌낸 나에게, 정영욱 작가가 건네는 위로 ","13,500원",부크럼,잘했고 잘하고 있고 잘 될 것이다
앵거스 플레처,문학은 어떻게 우리의 정신을 고양시켜왔나,"24,120원",박미경,우리는 지금 문학이 필요하다
황현필,조회수 1억뷰의 명강의를 책으로 만나다!,"19,800원",역바연,이순신의 바다 
박재연,"하루 한 번, 나와 아이를 생각하는 시간","16,200원",공인영,365 부모 말하기 연습 일력
MBC  제작진,"이준호, 이세영 주연의 화제의 드라마! ","19,800원",위즈덤하우스,옷소매 붉은 끝동 포토에세이
앙드레 코스톨라니,돈에 대해 생각하는 기술,"10,800원",미래의창,"돈, 뜨겁게 사랑하고 차갑게 다루어라"
오은영,국민 육아멘토 오은영 박사의 현실밀착 육아회화,"15,750원",차상미,어떻게 말해줘야 할까
성소라,넥스트 빅 씽 Next Big Thing : NFT 시대가 온다,"16,200원",롤프 회퍼,NFT 레볼루션
박혜원,YBM 토익 대표강사 고득점 특강 ,"11,520원",YBM(와이비엠),박혜원 파워토익 VOCA 보카
이치조 미사키,매일 기억을 잃는 너와 두 번 다시 돌아갈 수 없는 사랑을,"12,600원",권영주,"오늘 밤, 세계에서 이 사랑이 사라진다 해도"
이미예,100만 부 판매 기념 기프트 에디션,"21,600원",팩토리나인,달러구트 꿈 백화점 합본호
